cache_id,l1_unified,l1i,l1d,l2_shared,l2_shared_ncores,l3_shared,l3_shared_ncores
1,,,,,,,
2,8,,,,,,
3,,64,64,512,,,
4,,64,64,256,,,
5,,64,64,1024,,,
6,,64,64,1024,1,,
7,,64,64,512,1,,
8,,64,64,512,1,2048,
9,,16,8,,,,
10,,32,32,,,,
11,,32,32,256,,,
12,,64,64,512,1,6144,
13,,64,64,512,1,4096,
14,1,,,,,,
15,16,,,,,,
16,64,,,,,,
17,64,,,256,1,,
18,,8,8,,,,
19,,,,512,,,
20,,,,256,,,
21,,,,1024,,,
22,,16,16,,,,
23,,,,2048,,,
24,,8,8,96,,,
25,,,,,,4096,
26,,,,,,2048,
27,,,,,,8192,
28,,16,8,96,,,
29,,32,16,96,,,
30,,64,64,,,,
31,,,,4096,,,
32,,,,8192,,,
33,,,,16384,,,
34,,64,64,1792,,,
35,,64,64,1536,,,
36,,128,128,,,,
37,,128,128,2048,,,
38,,128,128,1024,,,
39,,128,128,3072,,,
40,,128,128,4096,,,
41,,64,64,5120,,,
42,,8,16,,,,
43,,128,256,,,,
44,,256,256,,,,
45,,1024,1024,,,,
46,,1,,,,,
47,256,,,,,,
48,1024,,,,,,
49,,512,512,,,,
50,,2048,2048,,,,
51,,512,1024,,,,
52,,768,1536,,,,
53,,32,128,,,,
54,,32,64,,,,
55,,32,128,2048,,,
56,,32,64,2048,,,
57,,32,256,,,,
58,,64,32,1536,,,
59,,64,32,1920,,,
60,,,,,,36864,
61,,64,64,4096,1,,
62,,32,32,256,1,4096,1
63,,64,32,512,,,
64,,4,4,,,,
65,32,,,,,,
66,,32,24,512,1,,
67,,32,32,512,1,,
68,,16,16,512,1,,
69,,16,16,128,1,,
70,,32,32,1024,,,
71,,32,32,256,1,2048,
72,,32,32,2048,,,
73,,32,32,4096,,,
74,,32,32,3072,,,
75,,32,32,6144,,,
76,,32,32,4096,2,,
77,,32,32,2048,2,,
78,,32,32,3072,2,,
79,,32,32,6144,2,,
80,,32,32,256,1,3072,
81,,32,32,256,1,4096,
82,,32,32,256,1,8192,
83,,32,32,256,1,6144,
84,,32,32,256,1,12288,
85,,16,16,96,,,
86,,16,16,256,1,6144,1
87,,16,16,256,1,9216,1
88,,16,16,256,1,12288,1
89,,16,16,256,1,24576,
90,,16,16,256,1,18432,
91,,16,16,256,1,3072,
92,,16,16,256,1,4096,
93,,16,16,256,1,,
94,,16,16,256,1,6144,
95,,16,16,256,1,9216,
96,,16,16,256,1,1536,
97,,12,16,1024,,,
98,,12,16,2048,,,
99,,12,8,256,,,
100,,12,8,512,,,
101,,12,8,2048,,,
102,,12,16,1024,1,,
103,,12,16,2048,1,,
104,,16,16,512,,,
105,,16,16,256,,,
106,,8,8,256,,,
107,,8,8,512,,,
108,,16,16,1024,1,4096,
109,,16,16,1024,1,8192,
110,,16,16,1024,1,16384,
111,,32,32,256,1,12888,
112,,32,32,512,,,
113,,0,0,,,,
114,,8,0,,,,
115,,4,2,,,,
116,,20,16,,,,
117,,,,5120,,,
118,,32,64,1024,,,
119,,16,8,3072,,,
120,,16,8,4096,,,
121,,,,1024,2,,
