gate_delay_id,technology_id,fanout,delay,vdd,gate_type,source
1,67,1.0,7.0,2.5,nmos,http://ieeexplore.ieee.org/xpls/abs_all.jsp?arnumber=383414&tag=1
2,67,1.0,14.0,2.5,pmos,http://ieeexplore.ieee.org/xpls/abs_all.jsp?arnumber=383414&tag=1
3,68,1.0,10.0,3.3,nmos,http://ieeexplore.ieee.org/xpls/abs_all.jsp?arnumber=383414&tag=1
4,68,1.0,17.0,3.3,pmos,http://ieeexplore.ieee.org/xpls/abs_all.jsp?arnumber=383414&tag=1
5,64,1.0,10.75,1.5,inv,http://ieeexplore.ieee.org/xpls/abs_all.jsp?arnumber=746320&tag=1
6,64,1.0,13.0,1.3,inv,http://ieeexplore.ieee.org/xpls/abs_all.jsp?arnumber=746320&tag=1
7,61,1.0,4.25,1.2,inv,http://ieeexplore.ieee.org/xpls/abs_all.jsp?arnumber=1609318
8,61,2.0,6.65,1.2,inv,http://ieeexplore.ieee.org/xpls/abs_all.jsp?arnumber=4418914&tag=1
9,60,2.0,5.1,1.1,inv,http://ieeexplore.ieee.org/xpls/abs_all.jsp?arnumber=4418914&tag=1
10,45,1.0,90.0,3.3,inv,http://ieeexplore.ieee.org/xpl/freeabs_all.jsp?arnumber=5436921
11,45,6.5,660.0,3.3,nand2,http://ieeexplore.ieee.org/xpl/freeabs_all.jsp?arnumber=5436921
12,45,1.0,125.0,2.5,inv,http://ieeexplore.ieee.org/xpl/freeabs_all.jsp?arnumber=5436921
13,45,1.0,80.0,4.0,inv,http://ieeexplore.ieee.org/xpl/freeabs_all.jsp?arnumber=5436921
14,48,4.5,185.0,2.5,nand2,http://ieeexplore.ieee.org/xpl/freeabs_all.jsp?arnumber=127489
15,48,1.0,38.0,2.5,inv,http://ieeexplore.ieee.org/xpl/freeabs_all.jsp?arnumber=127489
16,37,4.0,16.2,1.4,inv,http://ieeexplore.ieee.org/xpls/abs_all.jsp?arnumber=5388676&tag=1
17,36,4.0,12.6,1.35,inv,http://ieeexplore.ieee.org/xpls/abs_all.jsp?arnumber=5388676&tag=1
18,27,1.0,5.7,1.0,inv,http://www.fujitsu.com/downloads/MICRO/fma/pr/PressKit/65nmProcessTechnology.pdf
19,27,1.0,8.7,1.0,nand2,http://www.fujitsu.com/downloads/MICRO/fma/pr/PressKit/65nmProcessTechnology.pdf
20,26,1.0,7.0,1.0,inv,http://www.fujitsu.com/downloads/MICRO/fma/pr/PressKit/65nmProcessTechnology.pdf
21,26,1.0,11.4,1.0,nand2,http://www.fujitsu.com/downloads/MICRO/fma/pr/PressKit/65nmProcessTechnology.pdf
22,33,4.0,297.0,5.0,inv,weste & harris
23,33,4.0,427.0,3.3,inv,weste & harris
24,109,4.0,75.6,1.8,inv,weste & harris
