mips_est_id,processor_id,mips,link
1,343,0.06,horowitz
2,344,0.06,horowitz
3,345,0.64,horowitz
4,346,0.33,horowitz
5,347,0.66,horowitz
6,348,0.75,horowitz
7,349,0.75,horowitz
8,350,0.9,horowitz
9,351,1.5,horowitz
10,352,2.66,horowitz
11,353,5.5,horowitz
12,354,6.5,horowitz
13,355,8.5,horowitz
14,356,11.4,horowitz
15,357,20.0,horowitz
16,358,27.0,horowitz
17,359,41.0,horowitz
18,360,54.0,horowitz
19,361,70.7,horowitz
20,508,112.0,horowitz
21,500,166.3,horowitz
22,501,203.0,horowitz
23,502,218.9,horowitz
24,729,0.7,horowitz
25,730,1.0,horowitz
26,734,100.0,horowitz
